Week Starting,Clinician 1,Clinician 2,Clinician 3,Clinician 4,Clinician 5,Clinician 6,Clinician 7,Clinician 8,Clinician 9,Clinician 10,Clinician 11,Clinician 12,Clinician 13,Clinician 14,Clinician 15,Clinician 16,Clinician 17,Clinician 18,Clinician 19,Clinician 20
11/17/2025,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,-1,1
11/24/2025,1,-1,0,0,0,-1,1,0,0,-1,1,1,0,-1,0,0,0,1,0,-1
12/1/2025,0,0,-1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1
12/8/2025,1,1,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0
12/15/2025,0,0,-1,-1,0,0,0,-1,1,0,1,1,0,0,1,0,0,-1,0,-1
12/22/2025,-1,1,-1,0,-1,-1,-1,-1,0,-1,1,-1,0,-1,0,0,-1,0,1,-1
12/29/2025,0,1,0,0,1,0,0,1,-1,1,1,0,0,0,0,0,0,0,-1,0
1/5/2026,0,0,-1,-1,0,1,-1,0,1,1,1,0,0,0,0,-1,0,0,0,0
1/12/2026,0,1,0,0,1,0,1,0,-1,0,1,0,0,0,0,0,0,1,-1,1
1/19/2026,1,0,0,-1,0,-1,1,1,0,-1,0,0,-1,1,-1,-1,0,0,1,-1
1/26/2026,-1,1,0,0,0,0,-1,0,-1,0,0,1,0,0,1,0,-1,0,1,-1
2/2/2026,1,0,1,1,0,0,1,0,-1,0,1,1,1,1,0,0,0,-1,0,1
2/9/2026,1,0,-1,1,-1,0,1,-1,-1,0,0,-1,0,0,0,0,1,1,0,0
2/16/2026,-1,0,-1,0,-1,0,1,-1,0,0,0,-1,-1,0,-1,0,0,0,-1,0
2/23/2026,-1,0,0,-1,0,0,0,0,-1,1,0,0,-1,0,-1,1,-1,1,-1,0
3/2/2026,-1,0,0,-1,0,0,0,0,1,1,0,-1,1,1,0,0,1,0,0,1
3/9/2026,-1,1,1,0,1,-1,0,0,0,1,-1,0,1,1,0,1,0,1,1,-1
3/16/2026,0,-1,0,0,1,0,0,1,0,0,0,1,0,0,-1,0,0,1,-1,1
3/23/2026,0,1,0,0,0,1,1,1,-1,1,-1,0,0,0,-1,0,1,1,1,1
3/30/2026,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,1,0,1,0,-1,0
4/6/2026,-1,0,0,-1,-1,0,1,0,0,0,-1,0,0,1,0,0,1,0,0,0
4/13/2026,0,0,0,0,1,-1,0,1,1,-1,1,0,0,1,-1,-1,0,1,0,-1
4/20/2026,0,0,-1,0,1,0,1,0,-1,-1,0,-1,0,-1,0,0,0,0,-1,0
4/27/2026,-1,0,1,-1,-1,0,-1,0,0,1,-1,1,0,1,0,-1,0,0,1,0
5/4/2026,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0
5/11/2026,1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,0
5/18/2026,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,1,0,0,-1
5/25/2026,0,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6/1/2026,-1,-1,-1,0,0,1,0,0,0,1,0,-1,0,-1,0,0,-1,0,-1,0
6/8/2026,0,-1,0,-1,1,0,1,0,0,0,1,1,-1,0,0,0,0,0,0,0
6/15/2026,-1,-1,0,1,1,0,0,0,1,0,0,0,-1,1,-1,1,0,0,0,-1
6/22/2026,0,0,1,0,-1,0,-1,0,1,0,0,-1,0,0,0,0,1,1,0,1
